Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.16622E-4,0.021662187,0.008791839,1,0,0
4.09101E-4,0.105896673,0.016475119,0.95,0,0
1.07012E-3,0.268725152,0.04197798,0.9,0,0
1.84397E-3,0.36564234,0.070202654,0.9,0.005347594,0
2.37956E-3,0.432720719,0.088783135,0.9,0.010695187,0
3.04924E-3,0.73764438,0.110996014,0.883333333,0.010695187,0
3.39121E-3,1.076765141,0.121926424,0.866666667,0.010695187,0
4.19122E-3,2.174128634,0.146476646,0.816666667,0.021390374,0
4.67238E-3,2.641366497,0.160591931,0.8,0.021390374,0
4.73451E-3,3.114817948,0.162380785,0.783333333,0.021390374,0
5.95597E-3,3.710414458,0.196059759,0.766666667,0.021390374,0
5.95597E-3,4.306010968,0.196059759,0.733333333,0.021390374,0
6.11256E-3,4.917267361,0.20018278,0.733333333,0.026737968,0
6.72647E-3,6.201170575,0.215946178,0.7,0.026737968,0
6.72647E-3,7.546464217,0.215946178,0.65,0.026737968,0
7.48365E-3,7.811187534,0.234553005,0.65,0.053475936,0
9.42118E-3,8.488581827,0.278374544,0.65,0.058823529,0
9.61105E-3,9.449686828,0.282400526,0.633333333,0.058823529,0
9.61105E-3,10.410791829,0.282400526,0.6,0.058823529,0
1.04735E-2,10.791395573,0.300135288,0.6,0.064171123,0
1.21442E-2,11.528737514,0.33211263,0.6,0.069518717,0
1.32886E-2,12.982338184,0.352380241,0.583333333,0.090909091,0
1.35216E-2,14.334498811,0.356357314,0.566666667,0.096256684,0
1.35216E-2,15.686659439,0.356357314,0.533333333,0.096256684,0
1.44076E-2,17.127416618,0.37104303,0.533333333,0.117647059,0
1.44076E-2,20.008930976,0.37104303,0.483333333,0.117647059,0
1.4679E-2,21.476833249,0.375409398,0.483333333,0.122994652,0
1.48325E-2,22.960081653,0.377851148,0.466666667,0.122994652,0
1.59983E-2,30.492904873,0.395795161,0.383333333,0.203208556,0
1.83588E-2,32.328788096,0.429133356,0.366666667,0.20855615,0
1.92886E-2,37.929418541,0.441276669,0.316666667,0.245989305,0
2.02494E-2,39.456026055,0.45329262,0.3,0.256684492,0
2.0584E-2,39.987820376,0.457357907,0.3,0.272727273,0
2.09466E-2,42.082480079,0.461694584,0.283333333,0.272727273,0
2.16259E-2,44.24506546,0.469635124,0.266666667,0.288770053,0
2.16259E-2,46.407650842,0.469635124,0.233333333,0.288770053,0
2.2787E-2,47.595183249,0.482680229,0.233333333,0.336898396,0
2.39696E-2,48.804614396,0.495322425,0.233333333,0.347593583,0
2.59997E-2,51.404585564,0.515641584,0.216666667,0.352941176,0
2.64113E-2,56.645683857,0.519563051,0.183333333,0.43315508,0
2.67896E-2,59.324639837,0.523111909,0.166666667,0.443850267,0
2.79294E-2,62.117583355,0.533495375,0.15,0.459893048,0
2.79294E-2,64.910526872,0.533495375,0.116666667,0.459893048,0
2.93632E-2,67.163089459,0.545931075,0.116666667,0.49197861,0
2.9828E-2,67.893327701,0.549821408,0.116666667,0.513368984,0
2.9828E-2,70.87612853,0.549821408,0.083333333,0.513368984,0
3.98415E-2,73.984347136,0.619967414,0.083333333,0.550802139,0
4.25498E-2,74.825020877,0.635335763,0.083333333,0.56684492,0
4.40046E-2,75.276585693,0.643088578,0.083333333,0.577540107,0
4.89572E-2,80.172308218,0.667177824,0.066666667,0.582887701,0
5.02514E-2,82.408031723,0.672946026,0.05,0.598930481,0
5.14351E-2,84.452937898,0.678049577,0.05,0.604278075,0
5.19653E-2,85.368840373,0.680284143,0.05,0.609625668,0
5.28759E-2,85.996168605,0.684050231,0.033333333,0.652406417,0
6.07884E-2,91.447683823,0.71338898,0.033333333,0.679144385,0
6.67876E-2,93.521960721,0.732240259,0.016666667,0.679144385,0
7.54277E-2,96.50936944,0.755409677,0.016666667,0.684491979,0
8.10127E-2,98.440468266,0.768366007,0.016666667,0.689839572,0
8.55232E-2,100,0.777868605,0.016666667,0.700534759,0
8.55232E-2,100,0.777868605,0,0.700534759,0
1.04661E-1,100,0.810801546,0,0.705882353,0
1.23886E-1,100,0.835326899,0,0.71657754,0
1.40653E-1,100,0.852053147,0,0.721925134,0
1.94731E-1,100,0.888560637,0,0.727272727,0
4.66725E-1,100,0.950274939,0,0.732620321,0
6.76325E-1,100,0.965148142,0,0.737967914,0
7.7836E-1,100,0.969577851,0,0.748663102,0
7.95416E-1,100,0.970210763,0,0.764705882,0
8.13692E-1,100,0.970860355,0,0.79144385,0
1E0,100,0.976159882,0,0.796791444,0
