LONGDECDEG,LATDECDEG,Colibri.coruscans_AllData_RUN1 logistic values
-69.6833,11.16667,0.008791839
-70.51667,8.83333,0.46963513
-78.0575,-0.434722,0.12192643
-76.95,1.833333,0.21594618
-69.26667,9.91667,0.37104303
-69.26667,9.88333,0.37104303
-69.26667,9.88333,0.37104303
-79.15,-4.1,0.5195631
-70.48333,8.86667,0.46963513
-73.9333,4.4833,0.37785116
-76.333333,1.833333,0.49532244
-77.383333,-0.133333,0.019258827
-74.083333,4.483333,0.37785116
-72.3611233333333,7.55,0.5231119
-73.966667,4.55,0.37785116
-78.716667,-0.55,0.3754094
-77.645853,0.680287,0.44127667
-72.666667,5.416667,0.4573579
-69.66667,11.16667,0.008791839
-75.433333,4.3,0.6671778
-77.166667,0.666667,0.20018278
-75.112032,6.98266,0.35238025
-76.744722,1.069722,0.08878314
-73.096028,7.272611,0.7778686
-76.2,2.266667,0.42913336
-77.966667,0.866667,0.53349537
-69.70417,11.18,0.008791839
-73.416667,4.583333,0.6430886
-78.421389,0.35,0.54982144
-72.933333,10.533333,0.4616946
-75.333333,5.083333,0.53349537
-75.883333,2.383333,0.39579517
-78.216667,-2.066667,0.3563573
-78.75,-4.36667,0.110996015
-72.283333,6.133333,0.21594618
-74.166667,5.133333,0.51564157
-79.15,-4.65,0.28240052
-78.2,-0.333333,0.12192643
-78.908333,-3.283333,0.37785116
-78.366667,-0.666667,0.12192643
-72.81667,10.03333,0.016475119
-72.7833,10.0333,0.016475119
-72.59103,10.32648,0.21594618
-76.383333,2.35,0.42913336
-70.61667,10.31667,0.14647664
-73.916667,3.1,0.16238078
-78.884,-1.434,0.27837455
-77.275833,0.515367,0.20018278
-76.483333,2.333333,0.68028414
-76.170278,2.240278,0.42913336
-73.95,4.916667,0.51564157
-73.166667,5.25,0.3372357
-79.09183,-2.94754,0.37785116
-78.64964,-3.00277,0.3563573
-79.116667,-4.383333,0.28240052
-73.054278,7.142556,0.16059193
-78.587981,-0.146287,0.54982144
-71.7667,8.3667,0.19605976
-71.7667,8.3667,0.19605976
-79.133333,-4.866667,0.713389
