Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.61276E-5,0.002612756,0.002835267,1,0,0
3.16417E-5,0.005776927,0.00343159,0.995833333,0,0
3.50394E-5,0.012746345,0.003798678,0.9875,0,0
4.17237E-5,0.025010546,0.004520052,0.975,0,0
6.66513E-5,0.066036918,0.007201094,0.941666667,0,0
1.48308E-4,0.123883833,0.015883206,0.916666667,0,0
2.19149E-4,0.208970051,0.023293363,0.895833333,0,0
2.29524E-4,0.342470436,0.024369278,0.870833333,0,0
2.68316E-4,0.447881694,0.028371016,0.854166667,0,0
2.77934E-4,0.55616979,0.029358138,0.8375,0,0
2.82177E-4,0.723354352,0.029793012,0.8125,0,0
2.92571E-4,0.865482291,0.030856569,0.791666667,0,0
3.86648E-4,0.971506336,0.040377986,0.779166667,0,0
4.16682E-4,1.051839354,0.043378348,0.770833333,0,0
4.60953E-4,1.224397844,0.047767032,0.754166667,0,0
4.98708E-4,1.412554537,0.051477991,0.7375,0,0
5.38873E-4,1.566183331,0.055394313,0.725,0,0
5.6891E-4,1.789630391,0.058301967,0.708333333,0,0
6.88325E-4,2.02913575,0.069686844,0.691666667,0,0
7.08466E-4,2.306479766,0.071580009,0.675,0,0
7.09835E-4,2.873389432,0.071708391,0.641666667,0,0
8.59074E-4,3.385197687,0.085495737,0.6125,0,0
9.55485E-4,3.566653572,0.094186953,0.604166667,0,0
1.01525E-3,3.767813789,0.099492112,0.595833333,0,0
1.0239E-3,4.174778744,0.100254878,0.579166667,0,0
1.05475E-3,4.689813983,0.102964522,0.558333333,0,0
1.05648E-3,5.111887207,0.103116025,0.541666667,0,0
1.09874E-3,5.331635037,0.10680001,0.529166667,0.071428571,0
1.24528E-3,5.576889816,0.11934389,0.525,0.214285714,0
1.66097E-3,5.883802997,0.15308417,0.516666667,0.214285714,0
1.695E-3,6.0533033,0.155732366,0.5125,0.214285714,0
1.71938E-3,6.564241921,0.157619053,0.5,0.214285714,0
1.75643E-3,7.083761313,0.160470734,0.4875,0.214285714,0
1.82218E-3,7.441622408,0.165483227,0.479166667,0.214285714,0
2.09888E-3,7.651510798,0.185940095,0.475,0.214285714,0
2.44794E-3,8.525970209,0.210358254,0.458333333,0.214285714,0
2.4737E-3,9.018134168,0.212102015,0.45,0.214285714,0
3.72632E-3,11.864462997,0.288517519,0.404166667,0.214285714,0
4.01179E-3,13.383537031,0.303903683,0.3875,0.214285714,0
4.01313E-3,13.784850121,0.303974301,0.383333333,0.214285714,0
4.01632E-3,14.587795169,0.304142368,0.375,0.214285714,0
4.33424E-3,15.021218842,0.320501164,0.370833333,0.214285714,0
4.89532E-3,21.14525835,0.34757041,0.3125,0.214285714,0
4.91785E-3,21.63704352,0.348612583,0.308333333,0.214285714,0
5.40376E-3,24.144559436,0.370302418,0.2875,0.214285714,0
5.91636E-3,26.897701723,0.391670876,0.266666667,0.428571429,0
6.95395E-3,28.18473201,0.430771058,0.258333333,0.428571429,0
7.64564E-3,40.075608575,0.454159161,0.1875,0.428571429,0
7.7115E-3,43.140450161,0.45628625,0.170833333,0.428571429,0
8.03223E-3,46.257122356,0.466412278,0.154166667,0.428571429,0
8.40795E-3,47.901139415,0.477805094,0.145833333,0.428571429,0
8.78069E-3,56.346358781,0.488636804,0.104166667,0.428571429,0
9.7076E-3,59.95132459,0.513720053,0.0875,0.428571429,0
1.02575E-2,61.947834382,0.527470751,0.079166667,0.428571429,0
1.10974E-2,64.08332439,0.547034508,0.070833333,0.428571429,0
1.74832E-2,71.38034121,0.6554816,0.045833333,0.428571429,0
1.74832E-2,76.625295185,0.655481613,0.029166667,0.428571429,0
1.77331E-2,78.398597321,0.658680035,0.029166667,0.571428571,0
1.90755E-2,82.079454787,0.674890539,0.020833333,0.571428571,0
2.68073E-2,84.760181961,0.744722038,0.016666667,0.571428571,0
4.72771E-2,92.168616104,0.837264011,0.008333333,0.571428571,0
5.76354E-2,94.782283169,0.862489323,0.004166667,0.571428571,0
7.17345E-2,98.339859349,0.886447492,0.004166667,0.785714286,0
7.83138E-2,100,0.894985511,0.004166667,0.857142857,0
7.83139E-2,100,0.894985526,0,0.857142857,0
