Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.31559E-5,0.001315586,0.002118407,1,0,0
1.81797E-5,0.003133559,0.002925002,0.996491228,0,0
2.52826E-5,0.005661824,0.004063173,0.992982456,0,0
4.07542E-5,0.012546562,0.006533358,0.985964912,0,0
5.59579E-5,0.032281889,0.008948882,0.971929825,0,0
5.64947E-5,0.060314541,0.009033954,0.954385965,0,0
1.09025E-4,0.153582562,0.017288757,0.919298246,0,0
1.42668E-4,0.222771121,0.022503683,0.901754386,0,0
2.7091E-4,0.347706257,0.04188455,0.880701754,0,0
3.12426E-4,0.460221899,0.047995218,0.866666667,0,0
3.25376E-4,0.524151187,0.049885225,0.859649123,0,0
4.3792E-4,0.642004854,0.066001177,0.849122807,0,0
5.29996E-4,0.828929137,0.078785218,0.835087719,0,0
5.30817E-4,1.147008956,0.078897546,0.814035088,0,0
5.67009E-4,1.256791496,0.083825994,0.807017544,0,0
5.83858E-4,1.485279951,0.086102543,0.792982456,0,0
5.89516E-4,1.777774893,0.086864407,0.775438596,0,0
6.48222E-4,2.080857058,0.094695498,0.757894737,0,0
6.70659E-4,2.677605509,0.097653148,0.726315789,0,0
8.32767E-4,3.038137654,0.118461197,0.70877193,0,0
9.78158E-4,3.316901126,0.136323622,0.698245614,0,0
1.21493E-3,3.635210944,0.163912766,0.687719298,0.03030303,0
1.24575E-3,3.88127749,0.167374969,0.680701754,0.03030303,0
1.30767E-3,4.385769489,0.174244723,0.666666667,0.060606061,0
1.33517E-3,4.78081975,0.177259587,0.656140351,0.060606061,0
1.37404E-3,5.719324866,0.181484103,0.631578947,0.060606061,0
1.42326E-3,6.273863651,0.186770265,0.61754386,0.060606061,0
1.45971E-3,6.989137318,0.19064153,0.6,0.060606061,0
1.5439E-3,7.143527383,0.199444402,0.596491228,0.060606061,0
1.57065E-3,7.763762202,0.202200841,0.58245614,0.060606061,0
1.64845E-3,8.085671499,0.210112221,0.575438596,0.060606061,0
1.7907E-3,8.429586542,0.224179536,0.568421053,0.060606061,0
1.80851E-3,8.61043727,0.225904873,0.564912281,0.060606061,0
1.88291E-3,10.245534427,0.233033235,0.533333333,0.060606061,0
1.98779E-3,10.632604504,0.242860511,0.526315789,0.060606061,0
2.03595E-3,11.631314738,0.247289783,0.50877193,0.090909091,0
2.05036E-3,11.836350426,0.248604529,0.505263158,0.090909091,0
2.21525E-3,12.672982827,0.26333315,0.49122807,0.090909091,0
2.21525E-3,14.666712886,0.263333201,0.456140351,0.090909091,0
2.28046E-3,14.894757047,0.26899952,0.456140351,0.121212121,0
2.30145E-3,15.352948711,0.270805194,0.449122807,0.121212121,0
2.3386E-3,15.586808362,0.273978179,0.445614035,0.121212121,0
2.54919E-3,16.309446385,0.291459118,0.435087719,0.121212121,0
2.57726E-3,17.331928502,0.293725996,0.421052632,0.121212121,0
2.60829E-3,17.850483476,0.296214936,0.414035088,0.121212121,0
2.66823E-3,18.638964992,0.300973709,0.403508772,0.121212121,0
2.69617E-3,18.908581735,0.30316926,0.4,0.121212121,0
2.71402E-3,19.449580821,0.304565647,0.392982456,0.121212121,0
2.83914E-3,20.004917261,0.314194299,0.385964912,0.151515152,0
2.92247E-3,20.29716423,0.320461111,0.38245614,0.151515152,0
3.09799E-3,20.899210348,0.333293025,0.375438596,0.151515152,0
3.68556E-3,21.887364654,0.372931723,0.364912281,0.151515152,0
3.94231E-3,22.650151405,0.388810168,0.357894737,0.151515152,0
4.05874E-3,26.209861956,0.395748956,0.326315789,0.151515152,0
4.22752E-3,26.632624241,0.405532284,0.322807018,0.181818182,0
4.26477E-3,27.059101116,0.407648575,0.319298246,0.181818182,0
4.35961E-3,28.774492963,0.412970366,0.305263158,0.181818182,0
4.4827E-3,30.530642016,0.419735941,0.29122807,0.181818182,0
4.84074E-3,35.49742008,0.438558491,0.252631579,0.212121212,0
4.86929E-3,35.984349304,0.440006919,0.249122807,0.212121212,0
4.8693E-3,45.236016323,0.440007171,0.178947368,0.212121212,0
5.08482E-3,45.744486511,0.450704894,0.178947368,0.242424242,0
5.23375E-3,46.776343037,0.457861356,0.171929825,0.242424242,0
5.74372E-3,47.874089668,0.481015339,0.164912281,0.242424242,0
5.79982E-3,48.454071844,0.483442148,0.161403509,0.272727273,0
5.79982E-3,49.034059012,0.483442225,0.154385965,0.272727273,0
6.0076E-3,49.634813797,0.492236281,0.154385965,0.333333333,0
6.0076E-3,50.235577967,0.492236404,0.147368421,0.333333333,0
6.45604E-3,50.881177534,0.510232042,0.147368421,0.363636364,0
6.83603E-3,51.564781276,0.524511596,0.143859649,0.393939394,0
7.12307E-3,52.960692075,0.534758077,0.136842105,0.393939394,0
7.37767E-3,53.698458684,0.543483565,0.133333333,0.393939394,0
8.08775E-3,54.507233952,0.566176557,0.129824561,0.393939394,0
9.01209E-3,55.408431247,0.592542253,0.126315789,0.393939394,0
9.24188E-3,59.036265402,0.598606644,0.112280702,0.424242424,0
9.24191E-3,60.884682932,0.598607294,0.101754386,0.424242424,0
9.38632E-3,61.124078484,0.60232701,0.101754386,0.484848485,0
9.83517E-3,61.868158855,0.613460667,0.101754386,0.515151515,0
9.83518E-3,75.637573041,0.613460857,0.049122807,0.515151515,0
9.8807E-3,76.625472003,0.614555268,0.049122807,0.666666667,0
1.1812E-2,78.7947442,0.655890748,0.042105263,0.666666667,0
1.1812E-2,81.157149697,0.655890774,0.031578947,0.666666667,0
1.29014E-2,82.447287758,0.675518717,0.031578947,0.696969697,0
1.29164E-2,85.031458393,0.675773537,0.021052632,0.696969697,0
2.10031E-2,87.127873235,0.772166592,0.021052632,0.727272727,0
2.19301E-2,87.947400155,0.779675893,0.01754386,0.727272727,0
2.3682E-2,89.496070072,0.792594006,0.01754386,0.757575758,0
3.39932E-2,99.999993903,0.845805962,0.003508772,0.909090909,0
3.39932E-2,100,0.845806033,0.003508772,1,0
