"","parameter","mean","lower","upper","sd"
"1","beta",0.0630132468998143,-0.127772793844121,0.246276649275246,0.0940430005221531
"2","gamma",0.0939376044831109,0.0127414906596561,0.17705592683792,0.041421815715448
