Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.16821E-8,0.000003168,0.000002387,1,0,0
6.32986E-7,0.000066467,0.000047689,0.996666667,0,0
1.14651E-6,0.000181117,0.000086374,0.993333333,0,0
1.15547E-6,0.000296664,0.000087049,0.99,0,0
1.35112E-6,0.00066287,0.000101787,0.98,0,0
2.88259E-6,0.001271101,0.000217137,0.97,0,0
7.94618E-6,0.006251102,0.000598332,0.946666667,0,0
1.47654E-5,0.010914531,0.001111239,0.933333333,0,0
4.71784E-5,0.02547164,0.003541985,0.913333333,0,0
5.68702E-5,0.051175304,0.004266508,0.896666667,0,0
6.41908E-5,0.111174141,0.004813065,0.863333333,0,0
1.25017E-4,0.232164253,0.009331291,0.813333333,0,0
1.52181E-4,0.311389227,0.011335872,0.793333333,0,0
1.74145E-4,0.438203225,0.012950764,0.766666667,0,0
1.90713E-4,0.561761783,0.014165374,0.743333333,0,0
2.49031E-4,0.635588365,0.018417272,0.733333333,0,0
2.59648E-4,0.711359449,0.019187379,0.723333333,0,0
3.11808E-4,0.822781851,0.02295339,0.71,0,0
3.69454E-4,1.036223349,0.027082013,0.69,0,0
3.81412E-4,1.185200691,0.027934049,0.676666667,0,0
4.207E-4,1.265411843,0.030723082,0.67,0,0
4.6056E-4,1.353537858,0.033536384,0.663333333,0,0
4.88259E-4,1.586587827,0.035481765,0.646666667,0,0
6.27128E-4,1.764522174,0.045118017,0.636666667,0,0
6.90238E-4,2.023164112,0.049433973,0.623333333,0,0
7.58386E-4,2.389888991,0.054050839,0.606666667,0,0
8.05437E-4,2.849625642,0.057212345,0.586666667,0,0
8.15465E-4,3.09224669,0.057883467,0.576666667,0,0
8.82653E-4,3.262071693,0.062355198,0.57,0.055555556,0
8.96372E-4,3.793035291,0.063263054,0.55,0.055555556,0
9.01119E-4,4.152058654,0.063576777,0.536666667,0.055555556,0
9.81723E-4,4.52835215,0.068872012,0.523333333,0.055555556,0
1.07529E-3,5.584945233,0.074944353,0.49,0.055555556,0
1.13112E-3,7.741113358,0.078529822,0.423333333,0.055555556,0
1.14854E-3,10.118208824,0.079642897,0.353333333,0.055555556,0
1.30153E-3,10.851021821,0.089304194,0.333333333,0.055555556,0
1.43707E-3,11.255035143,0.097695888,0.323333333,0.055555556,0
1.57813E-3,11.55655533,0.106266145,0.316666667,0.055555556,0
1.87507E-3,11.901875171,0.12378613,0.31,0.055555556,0
2.01126E-3,12.66552242,0.131593964,0.296666667,0.055555556,0
2.05589E-3,13.072237932,0.134122397,0.29,0.055555556,0
2.08269E-3,13.897274277,0.135633245,0.276666667,0.055555556,0
2.78777E-3,14.800856631,0.173580636,0.263333333,0.055555556,0
2.83515E-3,15.920702032,0.176011887,0.25,0.055555556,0
2.94038E-3,16.498255619,0.181359845,0.243333333,0.055555556,0
3.52997E-3,19.203558431,0.210085474,0.213333333,0.055555556,0
3.6229E-3,20.62484106,0.214430178,0.2,0.055555556,0
4.42193E-3,21.067034023,0.249903934,0.196666667,0.055555556,0
4.59384E-3,21.968611171,0.257121417,0.19,0.055555556,0
4.71502E-3,27.493338873,0.262125879,0.15,0.055555556,0
5.44113E-3,32.752468888,0.290756301,0.113333333,0.055555556,0
5.60201E-3,34.94500545,0.296801446,0.1,0.055555556,0
6.17078E-3,35.562087576,0.317372039,0.096666667,0.111111111,0
6.67087E-3,37.463331426,0.334489271,0.086666667,0.111111111,0
7.23399E-3,40.187992915,0.352764429,0.073333333,0.111111111,0
9.69849E-3,41.157840697,0.422204431,0.07,0.111111111,0
1.03449E-2,42.192333563,0.438018871,0.066666667,0.166666667,0
1.44164E-2,44.66846502,0.520654712,0.06,0.166666667,0
1.7145E-2,47.824608306,0.563654645,0.053333333,0.166666667,0
1.73459E-2,59.846219587,0.566517097,0.03,0.277777778,0
2.49935E-2,62.34556473,0.653149675,0.026666667,0.277777778,0
2.49935E-2,72.342945419,0.653149682,0.01,0.277777778,0
4.21052E-2,74.962865933,0.76032653,0.01,0.5,0
5.77126E-2,77.352459705,0.813023142,0.01,0.555555556,0
7.20564E-2,79.54858067,0.844453851,0.01,0.611111111,0
1.02257E-1,89.77420386,0.885115088,0.006666667,0.777777778,0
3.63453E-1,100,0.964768586,0,0.944444444,0
