X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-78.0575,-0.434722,train,0.10225684125400371,89.77415011018242,0.8851150884187358
-78.8523,-2.97591,train,0.0056020072565522395,34.944968061203866,0.2968014461548004
-78.966667,-1.75,train,0.042105206645918776,74.9628669505331,0.7603265295702059
-78.98122,-2.88049,train,0.017145034235933818,47.82665694257636,0.563654645135276
-79.07512,-2.72165,train,0.05771260451413541,77.35246039614094,0.8130231422467037
-77.966667,0.866667,train,8.154653959276826E-4,3.0922476907504297,0.05788346733844417
-78.416667,0.466667,train,0.009698491813557622,41.15784359935674,0.4222044312207019
-78.4,-0.3,train,0.07205647129417574,79.54860480949978,0.8444540656782111
-78.26667,0.116667,train,0.07205647129417574,79.54860480949978,0.8444540656782111
-78.2,-0.333333,train,0.10225684125400371,89.77415011018242,0.8851150884187358
-78.516667,-0.25,train,0.024993452197895782,62.345549107588134,0.653149682412348
-78.5,-0.21667,train,0.024993452197895782,62.345549107588134,0.653149682412348
-79.126372,-2.87166,train,0.017145034235933818,47.82665694257636,0.563654645135276
-78.366667,-0.666667,train,0.10225684125400371,89.77415011018242,0.8851150884187358
-78.884,-1.434,train,0.36345337170426684,100.0,0.9647685858995849
-78.4,-0.21,train,0.07205647129417574,79.54860480949978,0.8444540656782111
-78.6,-0.1,train,0.024993452197895782,62.345549107588134,0.653149682412348
-78.587981,-0.146287,train,0.024993452197895782,62.345549107588134,0.653149682412348
