"","X1","GBM","GLM","MAXENT.Phillips","spec[x]"
"1","bio_1",0.767,0.958,0.597,"Colibri coruscans"
"2","bio_12",0.065,0,0.217,"Colibri coruscans"
"3","bio_15",0.157,0.147,0.426,"Colibri coruscans"
"4","bio_2",0.05,0,0.145,"Colibri coruscans"
