LONGDECDEG,LATDECDEG,Colibri.coruscans_AllData_RUN1 logistic values
-69.6833,11.16667,0.0
-78.0575,-0.434722,0.39347294
-68.98333,10.53333,0.0
-72.05,7.4167,0.41104048
-69.26667,9.91667,0.18161735
-69.26667,9.88333,0.18161735
-70.48333,8.86667,0.65550596
-73.9333,4.4833,0.4995537
-76.333333,1.833333,0.3185143
-74.083333,4.483333,0.4995537
-72.3611233333333,7.55,0.41104048
-78.716667,-0.55,0.39347294
-77.645853,0.680287,0.3185143
-72.666667,5.416667,0.41104048
-75.433333,4.3,0.4995537
-77.166667,0.666667,0.3185143
-75.112032,6.98266,0.5364806
-79.07512,-2.72165,0.3184936
-76.744722,1.069722,0.39079535
-73.084194,7.344611,0.5137626
-73.096028,7.272611,0.5137626
-76.2,2.266667,0.4995537
-77.966667,0.866667,0.4995537
-69.70417,11.18,0.0
-73.416667,4.583333,0.44727215
-78.421389,0.35,0.4995537
-75.333333,5.083333,0.4995537
-75.883333,2.383333,0.4995537
-78.216667,-2.066667,0.40791476
-78.26667,0.116667,0.39347294
-76.276097,1.600061,0.3185143
-78.75,-4.36667,0.3384894
-72.283333,6.133333,0.41104048
-78.15,-2.1,0.40791476
-69.60417,9.6975,0.18161735
-74.166667,5.133333,0.4995537
-78.908333,-3.283333,0.41104048
-78.366667,-0.666667,0.39347294
-72.81667,10.03333,0.008104626
-72.7833,10.0333,0.008104626
-72.59103,10.32648,0.008104626
-76.383333,2.35,0.4995537
-70.61667,10.31667,0.65790164
-73.916667,3.1,0.24093734
-78.884,-1.434,0.35598645
-77.983333,1.216667,0.24717191
-77.275833,0.515367,0.3185143
-74.066667,4.566667,0.4995537
-76.483333,2.333333,0.4995537
-76.170278,2.240278,0.4995537
-73.266667,4.85,0.44727215
-73.95,4.916667,0.4995537
-79.09183,-2.94754,0.41104048
-69.2667,9.9333,0.18161735
-78.64964,-3.00277,0.22005145
-79.116667,-4.383333,0.77553827
-73.054278,7.142556,0.73129666
-76.519722,1.238333,0.3185143
-78.587981,-0.146287,0.39347294
-79.133333,-4.866667,0.0
