Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.83643E-4,0.018364321,0.008104626,0.933333333,0,0
9.09152E-4,0.130417193,0.038878297,0.883333333,0,0
4.9878E-3,0.553872558,0.181617346,0.883333333,0.015957447,0
6.34112E-3,2.684323257,0.220051447,0.816666667,0.026595745,0
7.13402E-3,3.397725381,0.240937343,0.8,0.031914894,0
7.37832E-3,4.13555742,0.247148964,0.783333333,0.031914894,0
8.4482E-3,4.495126904,0.273195733,0.766666667,0.031914894,0
1.05036E-2,5.185919024,0.318493749,0.766666667,0.037234043,0
1.05046E-2,6.236379963,0.318514277,0.75,0.037234043,0
1.15005E-2,12.638732917,0.338489415,0.65,0.074468085,0
1.24236E-2,13.881089288,0.35598643,0.633333333,0.079787234,0
1.44176E-2,15.322852582,0.390795361,0.616666667,0.085106383,0
1.45805E-2,16.780902736,0.393472944,0.6,0.085106383,0
1.54057E-2,24.026759002,0.406685092,0.516666667,0.132978723,0
1.56858E-2,27.278553953,0.411040474,0.483333333,0.159574468,0
1.81873E-2,36.940188253,0.447272143,0.383333333,0.234042553,0
2.24353E-2,41.0024515,0.49955371,0.35,0.255319149,0
2.37477E-2,72.543153793,0.513762606,0.116666667,0.590425532,0
2.60132E-2,77.519246078,0.536480583,0.083333333,0.622340426,0
4.27664E-2,81.795886567,0.655505983,0.066666667,0.659574468,0
4.32177E-2,86.117657101,0.657872598,0.05,0.696808511,0
6.11686E-2,92.234514024,0.731296674,0.033333333,0.696808511,0
7.76549E-2,100,0.775538248,0.016666667,0.712765957,0
7.76549E-2,100,0.775538248,0.016666667,0.760638298,0
9.67165E-2,100,0.811435089,0,0.760638298,0
3.34763E-1,100,0.93708558,0,0.808510638,0
4.78809E-1,100,0.955164351,0,0.845744681,0
1E0,100,0.978018623,0,0.888297872,0
