Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.10037E-6,0.000110037,0.000108894,1,0,0
1.07866E-5,0.001188701,0.001066431,0.996666667,0,0
1.49613E-5,0.002684834,0.001478556,0.993333333,0,0
3.20524E-5,0.008134664,0.003162243,0.986666667,0,0
3.33702E-5,0.01147168,0.003291823,0.983333333,0,0
6.07585E-5,0.032477211,0.005977417,0.966666667,0,0
9.35189E-5,0.086982057,0.009170824,0.943333333,0,0
9.98534E-5,0.106319287,0.009785928,0.936666667,0,0
1.90759E-4,0.212554174,0.018529847,0.906666667,0,0
2.21259E-4,0.315852701,0.02142908,0.89,0,0
2.34344E-4,0.453195053,0.02266759,0.87,0,0
2.50102E-4,0.526421539,0.024155058,0.86,0,0
2.93713E-4,0.606285886,0.028248075,0.85,0,0
3.01583E-4,0.724558095,0.028983009,0.836666667,0,0
3.22529E-4,0.877444075,0.030933709,0.82,0,0
3.27695E-4,0.942466409,0.031413605,0.813333333,0,0
3.57246E-4,1.01096052,0.034149778,0.806666667,0,0
4.004E-4,1.158174498,0.038117678,0.793333333,0,0
4.41068E-4,1.322401371,0.041827253,0.78,0,0
4.44876E-4,1.455102517,0.042173132,0.77,0,0
4.544E-4,1.545030052,0.043037116,0.763333333,0,0
5.41484E-4,1.791829771,0.050865547,0.746666667,0,0
6.55787E-4,2.128150624,0.060948411,0.726666667,0,0
8.59297E-4,2.283308119,0.078379976,0.72,0,0
8.69129E-4,2.971728693,0.079205819,0.693333333,0,0
8.89966E-4,3.06072528,0.080950985,0.69,0,0
9.26011E-4,3.331319514,0.083954349,0.68,0,0
9.2914E-4,3.794637758,0.084214172,0.663333333,0,0
1.01327E-3,5.661330649,0.091144368,0.596666667,0,0
1.02521E-3,5.763851154,0.092119109,0.593333333,0,0
1.15153E-3,6.397311347,0.102308516,0.573333333,0,0
1.16944E-3,7.205171915,0.103734562,0.55,0,0
1.26548E-3,7.682550494,0.111305454,0.536666667,0,0
1.28835E-3,7.811385055,0.113089501,0.533333333,0,0
1.32352E-3,8.201405872,0.115819235,0.523333333,0,0
1.34331E-3,8.335736991,0.117348135,0.52,0,0
1.35687E-3,8.740086041,0.118392221,0.51,0,0
1.44066E-3,9.019838638,0.124790868,0.503333333,0,0
1.4823E-3,9.600265924,0.127936414,0.49,0,0
1.49827E-3,9.750092123,0.129136492,0.486666667,0,0
1.50819E-3,10.050737665,0.129880518,0.48,0.055555556,0
1.5916E-3,10.36401131,0.136086453,0.473333333,0.055555556,0
1.77952E-3,10.701123328,0.149747753,0.466666667,0.055555556,0
1.8976E-3,10.890883469,0.158113409,0.463333333,0.055555556,0
1.94191E-3,11.464594702,0.161210115,0.453333333,0.055555556,0
1.94949E-3,12.242116619,0.161737681,0.44,0.055555556,0
1.99353E-3,16.340451094,0.164789422,0.37,0.055555556,0
2.11944E-3,17.150455128,0.173392868,0.356666667,0.055555556,0
2.30168E-3,17.592567983,0.185535862,0.35,0.055555556,0
2.31754E-3,18.054490566,0.186575586,0.343333333,0.055555556,0
2.52448E-3,19.233954757,0.199904753,0.326666667,0.055555556,0
2.64417E-3,20.508161989,0.207416755,0.31,0.055555556,0
2.75615E-3,23.692360104,0.21431827,0.27,0.055555556,0
2.88515E-3,25.358948423,0.222121174,0.25,0.055555556,0
3.07305E-3,25.821411037,0.233213503,0.243333333,0.055555556,0
3.27651E-3,26.298568844,0.244873481,0.24,0.111111111,0
3.28639E-3,26.95481164,0.245430258,0.233333333,0.111111111,0
3.33746E-3,27.288605351,0.248297665,0.23,0.166666667,0
3.59672E-3,28.649516152,0.262521795,0.216666667,0.166666667,0
3.81241E-3,29.390428428,0.273952131,0.21,0.166666667,0
3.96065E-3,33.598900572,0.281604601,0.173333333,0.166666667,0
4.07051E-3,34.798080931,0.287172931,0.163333333,0.166666667,0
4.09665E-3,35.207746298,0.288484931,0.16,0.222222222,0
4.36048E-3,36.87278932,0.301462846,0.146666667,0.222222222,0
5.14942E-3,38.457729006,0.337593064,0.133333333,0.222222222,0
6.0988E-3,38.790813209,0.376406051,0.133333333,0.277777778,0
6.11865E-3,40.012558432,0.377168955,0.126666667,0.277777778,0
6.5098E-3,42.499133684,0.391832934,0.113333333,0.277777778,0
6.63257E-3,45.115332094,0.396294032,0.1,0.277777778,0
7.15445E-3,46.494034357,0.414549619,0.093333333,0.277777778,0
7.41447E-3,52.959041823,0.423239134,0.063333333,0.277777778,0
8.85979E-3,53.845020789,0.467197082,0.06,0.277777778,0
8.89332E-3,55.620331709,0.468137472,0.053333333,0.277777778,0
8.89332E-3,59.177659676,0.468137491,0.036666667,0.277777778,0
1.61821E-2,60.795865406,0.615615615,0.036666667,0.5,0
1.61821E-2,70.5051024,0.615615697,0.013333333,0.5,0
2.42168E-2,72.926782794,0.705603099,0.013333333,0.611111111,0
6.36838E-2,79.295161197,0.863067704,0.01,0.611111111,0
1.03524E-1,89.647580598,0.911079051,0.006666667,0.777777778,0
1.03524E-1,100,0.911079082,0,0.777777778,0
7.55943E-1,100,0.986810308,0,0.944444444,0
