LONGDECDEG,LATDECDEG,Colibri.coruscans_AllData_RUN1 logistic values
-69.6833,11.16667,0.03911572
-78.0575,-0.434722,1.3136853E-20
-76.95,1.833333,0.14463466
-69.26667,9.88333,0.20617282
-69.26667,9.88333,0.20617282
-79.15,-4.1,0.52482575
-70.48333,8.86667,0.36967883
-73.9333,4.4833,0.35687876
-76.333333,1.833333,0.7038923
-77.383333,-0.133333,3.4908105E-8
-74.083333,4.483333,0.35687876
-72.3611233333333,7.55,0.5405939
-73.966667,4.55,0.35687876
-78.716667,-0.55,0.5213715
-77.645853,0.680287,0.0027927414
-72.666667,5.416667,0.6878894
-69.66667,11.16667,0.03911572
-77.166667,0.666667,0.03452029
-75.112032,6.98266,4.9580365E-5
-79.07512,-2.72165,0.36967883
-76.744722,1.069722,1.78452E-5
-73.084194,7.344611,0.341106
-73.096028,7.272611,0.341106
-76.2,2.266667,0.43801665
-69.70417,11.18,0.03911572
-73.416667,4.583333,0.6878894
-72.933333,10.533333,0.2908826
-75.333333,5.083333,0.60859084
-75.883333,2.383333,0.35141215
-78.216667,-2.066667,0.59495014
-78.75,-4.36667,1.1381141E-12
-72.283333,6.133333,1.3559315E-4
-69.60417,9.6975,3.748936E-21
-74.166667,5.133333,0.52482575
-79.15,-4.65,0.17657237
-78.2,-0.333333,1.3136853E-20
-78.366667,-0.666667,1.3136853E-20
-72.81667,10.03333,0.021346543
-72.7833,10.0333,0.021346543
-72.59103,10.32648,2.72564E-19
-76.383333,2.35,0.43801665
-70.61667,10.31667,0.056013264
-73.916667,3.1,3.2942742E-5
-78.884,-1.434,0.45393747
-77.983333,1.216667,0.03327249
-77.275833,0.515367,0.03452029
-74.066667,4.566667,0.35687876
-73.266667,4.85,3.2547128E-4
-72.05,8.13333,0.5747935
-73.95,4.916667,0.52482575
-73.166667,5.25,0.14419729
-79.09183,-2.94754,0.52482575
-69.2667,9.9333,0.20617282
-78.64964,-3.00277,2.8621961E-15
-79.116667,-4.383333,0.17657237
-73.054278,7.142556,0.14994012
-78.587981,-0.146287,0.4600414
-71.7667,8.3667,2.3291005E-16
-71.7667,8.3667,2.3291005E-16
-79.133333,-4.866667,0.42897844
