"","X1","GBM","GLM","MAXENT.Phillips","spec[x]"
"1","bio_1",0.738,0.779,0.256,"Colibri coruscans"
"2","bio_12",0.031,0.237,0.329,"Colibri coruscans"
"3","bio_15",0.125,0,0.127,"Colibri coruscans"
"4","bio_2",0.051,0,0.318,"Colibri coruscans"
