"","IDComm","Richness","Community","CommunityName","Country","LatDecDeg","LongDecDeg","SingleSpCommunities.IDComm","CountOfSpecies","pts_eco"
"102",259,7,"Chaucha","Chaucha","Ecuador",-2.866666667,-79.38333333,NA,NA,3
"103",260,8,"Ana Tenorio","Ana Tenorio","Ecuador",-0.983333333,-78.26666667,NA,NA,3
"104",261,8,"Toledo","Toledo","Ecuador",-4.383333333,-79.11666667,NA,NA,3
"105",262,9,"Lagunillas","Lagunillas","Ecuador",-4.783333333,-79.4,NA,NA,3
"106",263,5,"Atillo","Atillo","Ecuador",-2.183333333,-78.48333333,NA,NA,3
"107",264,7,"Tingichaca","Tingichaca","Ecuador",-2.2,-78.43333333,NA,NA,3
"108",265,17,"Purshi","Purshi","Ecuador",-2.2,-78.38333333,NA,NA,3
"109",266,10,"Lago","Lago","Ecuador",-2.066666667,-78.21666667,NA,NA,5
"110",267,11,"Primero","Primero","Ecuador",-2.083333333,-78.18333333,NA,NA,5
"111",268,14,"Nueva","Nueva","Ecuador",-2.1,-78.15,NA,NA,5
"112",271,13,"Romerillos","Romerillos","Ecuador",-4.085719444,-78.95770833,NA,NA,5
"113",272,14,"East of San Pedro de Vilcabamba","East of San Pedro de Vilcabamba","Ecuador",-3.943805556,-79.41430833,NA,NA,4
"114",275,13,"Bosque Protector Cashca Totoras","Bosque Protector Cashca Totoras","Ecuador",-1.75,-78.96666667,NA,NA,4
"116",277,7,"Comuna La Esperanza","Comuna La Esperanza","Ecuador",0.781388889,-77.89444444,NA,NA,3
"117",280,8,"Lagunas del Voladero, Reserva Ecológica el Ángel","Lagunas del Voladero, Reserva Ecológica el Ángel","Ecuador",0.683611111,-77.87666667,NA,NA,3
"119",285,9,"Parque Nacional Cajas - Paramo","Parque Nacional Cajas - Paramo","Ecuador",-2.857621,-79.27267,NA,NA,3
"123",290,7,"Reserva Tito Santos","Reserva Tito Santos","Ecuador",-0.15,-80.2,NA,NA,9
"124",291,5,"Finca Integral Río Muchacho","Finca Integral Río Muchacho","Ecuador",-0.4167,-80.4333,NA,NA,9
"125",293,5,"Reserva Cerro Seco","Reserva Cerro Seco","Ecuador",-0.58334,-80.41667,NA,NA,9
"129",300,9,"Utuana Reserve","Utuana Reserve","Ecuador",-4.36667,-79.7,NA,NA,4
"130",301,6,"Macara","Macara","Ecuador",-4.38334,-79.95,NA,NA,9
"131",303,7,"Bosque Protector Fasañán","Bosque Protector Fasañán","Ecuador",-3.05,-78.7,NA,NA,3
"132",304,13,"Bosque Protector Yanuncay-Yanasacha-Irquis","Bosque Protector Yanuncay-Yanasacha-Irquis","Ecuador",-2.93,-79.083334,NA,NA,3
"133",305,14,"Mazar Wildlife Reserve","Mazar Wildlife Reserve","Ecuador",-2.36,-78.7,NA,NA,3
"134",307,9,"Reserva de Fauna Chimborazo","Reserva de Fauna Chimborazo","Ecuador",-1.434,-78.884,NA,NA,3
"136",309,6,"Parque Metropolitano","Parque Metropolitano","Ecuador",-0.21667,-78.5,NA,NA,3
"137",310,6,"Parque Itchimbía","Parque Itchimbía","Ecuador",-0.25,-78.516667,NA,NA,3
"138",311,14,"Refugio Pasochoa","Refugio Pasochoa","Ecuador",-0.46667,-78.4833,NA,NA,3
"139",312,5,"Nayon","Nayon","Ecuador",-0.1667,-78.4333,NA,NA,4
"140",313,7,"Tumbaco","Tumbaco","Ecuador",-0.21,-78.4,NA,NA,4
"141",314,8,"Ilaló","Ilaló","Ecuador",-0.3,-78.4,NA,NA,4
"142",316,9,"Cordillera Toisán","Cordillera Toisán","Ecuador",0.33334,-78.616667,NA,NA,4
"143",317,18,"Mojanda","Mojanda","Ecuador",0.116667,-78.26667,NA,NA,3
"147",323,15,"La Selva Lodge","La Selva Lodge","Ecuador",-2.41667,-76.33334,NA,NA,6
"148",324,15,"Yuturi Lodge","Yuturi Lodge","Ecuador",-0.55,-76.08333,NA,NA,6
"149",325,13,"Estacion Cientifica Yasuni","Estacion Cientifica Yasuni","Ecuador",-0.6667,-76.38333,NA,NA,6
"150",326,11,"Reserva Sierra Azul","Reserva Sierra Azul","Ecuador",-0.68333,-77.91667,NA,NA,5
"152",328,25,"Cordillera de Guacamayos","Cordillera de Guacamayos","Ecuador",-0.68333,-77.8,NA,NA,5
"155",332,9,"Via Oyacachi-El Chaco","Via Oyacachi-El Chaco","Ecuador",-0.233333333,-77.91666667,NA,NA,3
"157",334,7,"Guayllabamba","Guayllabamba","Ecuador",0.466666667,-78.41666667,NA,NA,3
"158",335,10,"Chugchilán","Chugchilán","Ecuador",-0.8,-78.91666667,NA,NA,3
"159",336,7,"Otongachi","Otongachi","Ecuador",-0.316666667,-78.95,NA,NA,5
"161",340,11,"Miazi, Cordillera del Condor","Miazi, Cordillera del Condor","Ecuador",-4.333333333,-78.58333333,NA,NA,5
"162",344,11,"Cordillera Virgen Negra","Cordillera Virgen Negra","Ecuador",0.680287294,-77.64585348,NA,NA,3
"163",345,11,"Loma Guagua","Loma Guagua","Ecuador",0.497403588,-77.77429041,NA,NA,3
"164",346,7,"El Triunfo","El Triunfo","Ecuador",-1.256944444,-78.3675,NA,NA,3
"165",347,7,"Machay","Machay","Ecuador",-1.385555556,-78.28027778,NA,NA,5
"166",348,8,"Río Mulatos","Río Mulatos","Ecuador",-0.9675,-78.21527778,NA,NA,4
"167",349,15,"Caripero","Caripero","Ecuador",-0.666666667,-79.08333333,NA,NA,4
"168",350,7,"Sinangoe","Sinangoe","Ecuador",-0.133333333,-77.45,NA,NA,5
"169",351,10,"Chandiquia","Chandiquia","Ecuador",-0.133333333,-77.38333333,NA,NA,6
"170",352,6,"Pacaritambo","Pacaritambo","Ecuador",-1.033333333,-79.48333333,NA,NA,9
"171",354,14,"Chinapintza, Cordillera del Cóndor","Chinapintza, Cordillera del Cóndor","Ecuador",-4,-78.56666667,NA,NA,5
"173",361,7,"Abras de Mantequilla","Abras de Mantequilla","Ecuador",-1.466666667,-79.58333333,NA,NA,9
"176",367,8,"Territorio Etnico Awá parte baja","Territorio Etnico Awá parte baja","Ecuador",1.066666667,-78.51666667,NA,NA,6
"177",371,5,"Parque Omaere","Parque Omaere","Ecuador",-1.466666667,-77.98333333,NA,NA,6
