"","X1","GBM","GLM","MAXENT.Phillips","spec[x]"
"1","bio_1",0.306,0.4,0.516,"Pterophanes cyanopterus"
"2","bio_12",0.146,0.239,0.275,"Pterophanes cyanopterus"
"3","bio_15",0.167,0,0.104,"Pterophanes cyanopterus"
"4","bio_2",0.237,0.179,0.097,"Pterophanes cyanopterus"
