LONGDECDEG,LATDECDEG,Patagona.gigas_AllData_RUN1 logistic values
-75.533333,5.083333,0.15120761
-77.073367,1.53985,0.28687412
-75.2667,5.2833,0.099062346
-78.066667,0.883333,0.19618109
-76.945017,1.773383,0.028939921
-75.583333,6.25,0.08597706
-78.766667,-0.016667,0.4362986
-78.743134,-0.035019,0.4362986
-73.2,5.2,0.18052033
-70.3,9.35,0.06640522
-75.856336,5.598278,0.09653704
-74.05,4.6,0.2875398
-76.083333,2.333333,0.5345435
-70.808333,8.791667,0.3622224
-70.88333,8.55,0.0038760912
-72.75,7.3,0.15461786
-76.276097,1.600061,0.06274247
-78.75,-4.36667,0.03835162
-78.4333,-0.1667,0.4362986
-70.16667,9.53333,0.06640522
-78.15,-2.1,0.11277107
-79.13341,-3.56664,0.40519422
-74.166667,5.133333,0.21858507
-76.618611,2.256667,0.22897953
-79.15,-4.65,0.39845195
-72.2333,7.8667,0.05804655
-72.633333,7.45,0.15461786
-75.416667,2.333333,0.04879417
-76.074583,6.451251,0.10221507
-78.908333,-3.283333,0.56124026
-77.283333,1.216667,0.28687412
-74.4,4.75,0.21858507
-72.81667,10.03333,0.0034848666
-72.9333,9.85,0.011487632
-72.9167,10.0833,0.011487632
-72.59103,10.32648,0.021382501
-72.916667,10.483333,0.009105566
-72.5,5.833333,0.41461635
-76.5916665,2.475,0.22897953
-76.583333,2.7,0.08160253
-73.05,8.1,0.05899885
-78.183333,-2.083333,0.11277107
-76.532222,2.502778,0.22897953
-76.45,2.4,0.22897953
-76.383333,2.35,0.5345435
-78.383333,-2.2,0.11277107
-70.61667,10.31667,0.004443206
-75.5177,6.226833,0.08597706
-79.80964,-4.30908,0.1507016
-76.089451,6.435972,0.10221507
-72.0,7.9167,0.05804655
-74.033333,4.4,0.2875398
-73.083333,7.8,0.05899885
-74.090194,4.43375,0.2875398
-79.81349,-4.32356,0.3036042
-74.010778,4.556944,0.2875398
-77.91667,-0.68333,0.8417649
-79.25007,-3.24997,0.56124026
-76.633333,2.75,0.08160253
-75.6,6.066667,0.05661756
-72.35,7.4333,0.034664467
-77.275833,0.515367,0.025587425
-75.566667,4.633333,0.29642
-76.266667,1.883333,0.24090609
-76.033333,2.566667,0.5345435
-76.633333,3.5,0.086395
-74.066667,4.566667,0.2875398
-74.283333,4.966667,0.21858507
-78.179697,-1.522207,0.09418196
-73.483333,10.966667,0.29863444
-75.533333,6.466667,0.08597706
-73.05,7.783333,0.05899885
-76.483333,2.333333,0.22897953
-73.6,10.566667,0.043893386
-73.6,10.566667,0.043893386
-77.466667,1.283333,0.08818622
-71.625015,8.39165,0.027518148
-76.170278,2.240278,0.5345435
-73.266667,4.85,0.010349727
-74.35,4.6,0.2875398
-70.7333,8.8167,0.3622224
-70.6,8.85,0.3622224
-77.396211,1.242064,0.28687412
-75.590494,4.736057,0.15120761
-72.05,8.13333,0.05804655
-73.716667,5.083333,0.13781135
-72.683333,6.333333,0.292526
-75.283333,5.7,0.06429247
-79.783333,-4.35,0.3036042
-74.083333,4.75,0.21858507
-73.166667,5.25,0.18052033
-79.09183,-2.94754,0.56124026
-71.0667,8.6333,0.29975256
-74.11167,4.927484,0.21858507
-72.4,7.48333,0.034664467
-72.45,7.483315,0.15461786
-77.0,2.521389,0.05102037
-71.08333,8.56667,0.29975256
-76.688056,2.356389,0.22897953
-70.73333,8.98333,0.3622224
-78.64964,-3.00277,0.30103287
-75.416667,4.55,0.29642
-75.416667,4.533333,0.29642
-75.366667,4.433333,0.044334948
-79.116667,-4.383333,0.39845195
-72.833333,7.2,0.15461786
-76.4,2.5,0.5345435
-73.35,5.516667,0.18052033
-76.183333,6.333333,0.10221507
-74.033333,4.7,0.21858507
-79.7,-4.36667,0.3036042
-71.083315,8.65,0.29975256
-77.468889,1.210833,0.08818622
-72.931722,7.294417,0.037225537
-74.05,4.85,0.21858507
-72.947389,10.363897,0.009105566
-76.082,2.534,0.5345435
-75.583333,4.733333,0.15120761
-77.916667,-0.233333,0.8596534
-73.45,5.7,0.16150482
-76.519722,1.238333,0.25988868
-75.4,6.966667,0.014056999
-71.7667,8.3667,0.027518148
-71.7667,8.3667,0.027518148
-74.383333,4.766667,0.21858507
-79.133333,-4.866667,0.2507909
