LONGDECDEG,LATDECDEG,Patagona.gigas_AllData_RUN1 logistic values
-70.51667,8.83333,0.3622224
-79.36314,-4.56371,0.39845195
-75.716667,6.116667,0.05661756
-74.466667,4.766667,0.010828146
-68.98333,10.53333,0.008364558
-74.009722,4.766111,0.21858507
-74.083333,4.6,0.2875398
-74.083333,4.6,0.2875398
-74.083333,4.6,0.2875398
-76.951217,1.8401,0.028939921
-78.96675,-4.13329,0.2626099
-75.6,6.283333,0.08597706
-76.528622,2.497128,0.22897953
-74.016667,4.666667,0.2875398
-75.505213,5.071837,0.15120761
-78.116667,0.816667,0.19618109
-72.3833,7.65,0.034664467
-72.966667,8.016667,0.05899885
-72.05,7.4167,0.034664467
-75.6,4.05,0.48432007
-69.26667,9.91667,0.0039040365
-69.26667,9.9,0.0039040365
-69.26667,9.88333,0.0039040365
-69.26667,9.88333,0.0039040365
-75.633333,6.083333,0.05661756
-70.43333,8.9,0.3622224
-70.4,8.9,0.0031052094
-70.48333,8.86667,0.3622224
-76.333333,1.833333,0.24090609
-79.083333,-0.666667,0.013200733
-77.533333,-0.05,0.27176157
-72.683333,6.333333,0.292526
-79.80005,-3.94996,0.1507016
-70.116685,9.55,0.06640522
-74.083333,4.6,0.2875398
-76.95,2.666667,0.05102037
-74.066667,4.866667,0.21858507
-78.566667,-4.0,0.03653916
-74.083333,4.483333,0.2875398
-72.3611233333333,7.55,0.034664467
-73.933333,4.533333,0.2875398
-74.083333,4.6,0.2875398
-76.466667,2.333333,0.22897953
-77.533333,0.916667,0.71815133
-72.35,7.45,0.034664467
-78.716667,-0.55,0.8700883
-77.8,-0.68333,0.15407416
-72.666667,5.416667,0.035238683
-69.56667,9.775,0.013104977
-71.733333,8.333333,0.027518148
-71.0833,8.75,0.09917957
-71.06667,8.75,0.09917957
-77.783333,0.9,0.71815133
-74.0,5.0,0.21858507
-69.66667,11.16667,0.0022023004
-75.433333,4.3,0.29642
-79.414308,-3.943806,0.1507016
-75.48,5.077,0.15120761
-76.131411,2.561464,0.5345435
-76.057,2.584,0.5345435
-77.166667,0.666667,0.025587425
-75.112032,6.98266,0.014056999
-77.166667,1.166667,0.45238978
-77.816667,1.116667,0.71815133
-73.55,10.616667,0.043893386
-76.079033,6.41547,0.10221507
-76.816667,2.416667,0.22897953
-76.666667,2.333333,0.22897953
-73.883333,4.55,0.050392855
-73.084194,7.344611,0.037225537
-73.096028,7.272611,0.037225537
-76.2,2.266667,0.5345435
-73.85,4.533333,0.050392855
-74.15,4.666667,0.2875398
-75.683333,5.916667,0.05661756
-76.3,2.483333,0.5345435
-73.883333,5.0,0.13781135
-69.70417,11.18,0.0022023004
-77.7,0.583333,0.55391634
-78.014167,-0.421389,0.8417649
-71.7333,8.15,0.04076279
-74.0,4.366667,0.2875398
-72.966667,7.783333,0.05899885
-76.6,2.583333,0.22897953
-76.083333,6.416667,0.10221507
-76.433333,2.166667,0.6029981
-76.15,6.65,0.10221507
-73.42,5.916667,0.16150482
-75.466667,6.833333,0.100036934
-70.516667,8.816667,0.3622224
-75.441,5.043,0.15120761
-78.421389,0.35,0.15873544
-75.495678,5.054595,0.15120761
-79.86672,-4.31663,0.1507016
-79.8575,-4.321111,0.3036042
-72.933333,10.533333,0.009105566
-73.966667,4.716667,0.21858507
-76.916667,2.583333,0.05102037
-74.3,4.7,0.21858507
-75.333333,5.083333,0.25234872
-75.883333,2.383333,0.04879417
-74.133333,5.0,0.21858507
-78.216667,-2.066667,0.11277107
-75.5,4.583333,0.29642
-79.4,-4.783333,0.39845195
-75.333333,6.283333,0.059388794
-73.1,7.8,0.05899885
-77.77429,0.497404,0.55391634
-75.793603,5.535228,0.09653704
-77.068444,1.74325,0.028939921
-76.889,1.799,0.6029981
-73.616667,10.933333,0.29863444
-73.5,10.916667,0.29863444
-74.083333,4.75,0.21858507
