"","X1","GBM","GLM","MAXENT.Phillips","spec[x]"
"1","bio_1",0.78,0.938,0.595,"Colibri coruscans"
"2","bio_12",0.05,0,0.189,"Colibri coruscans"
"3","bio_15",0.14,0.142,0.424,"Colibri coruscans"
"4","bio_2",0.038,0,0.084,"Colibri coruscans"
"5","bio_3",0.024,0,0.076,"Colibri coruscans"
