LONGDECDEG,LATDECDEG,Pterophanes.cyanopterus_AllData_RUN1 logistic values
-69.6833,11.16667,0.014921529
-79.36314,-4.56371,0.42479992
-75.716667,6.116667,0.13465756
-74.466667,4.766667,0.15239435
-68.98333,10.53333,0.047707334
-74.009722,4.766111,0.42783004
-71.83333,8.06667,0.31783646
-74.083333,4.6,0.61435086
-74.083333,4.6,0.61435086
-74.083333,4.6,0.61435086
-76.951217,1.8401,0.09929273
-78.96675,-4.13329,0.45297003
-75.6,6.283333,0.20750648
-76.528622,2.497128,0.28919816
-75.505213,5.071837,0.109681785
-78.8523,-2.97591,0.25361735
-78.116667,0.816667,0.5619471
-79.083334,-2.93,0.75731695
-72.3833,7.65,0.1298136
-76.95,1.833333,0.09929273
-72.966667,8.016667,0.35242546
-72.05,7.4167,0.1298136
-75.6,4.05,0.54542357
-69.26667,9.91667,0.011817144
-69.26667,9.9,0.011817144
-69.26667,9.88333,0.011817144
-73.216667,6.116667,0.30932826
-75.633333,6.083333,0.13465756
-70.43333,8.9,0.20585528
-70.4,8.9,0.019906355
-70.48333,8.86667,0.20585528
-76.333333,1.833333,0.3660965
-79.083333,-0.666667,0.36881202
-77.533333,-0.05,0.44204557
-72.683333,6.333333,0.3550225
-79.80005,-3.94996,0.27952096
-74.083333,4.6,0.61435086
-76.95,2.666667,0.040716916
-74.066667,4.866667,0.42783004
-78.566667,-4.0,0.42635074
-72.3611233333333,7.55,0.1298136
-73.933333,4.533333,0.61435086
-73.683333,5.15,0.23442347
-74.083333,4.6,0.61435086
-77.533333,0.916667,0.68269455
-72.35,7.45,0.1298136
-72.666667,5.416667,0.119348615
-73.2,6.083333,0.30932826
-69.56667,9.775,0.16527414
-78.98122,-2.88049,0.75731695
-71.06667,8.75,0.15630707
-77.783333,0.9,0.68269455
-74.0,5.0,0.42783004
-69.66667,11.16667,0.014921529
-79.414308,-3.943806,0.27952096
-76.131411,2.561464,0.27180448
-76.057,2.584,0.27180448
-77.166667,0.666667,0.23593555
-75.112032,6.98266,0.022897994
-79.16564,-3.13063,0.75731695
-77.166667,1.166667,0.48369446
-77.816667,1.116667,0.68269455
-73.55,10.616667,0.09706199
-76.079033,6.41547,0.13399328
-76.816667,2.416667,0.28919816
-76.666667,2.333333,0.28919816
-72.993028,10.361611,0.017937398
-73.883333,4.55,0.13691531
-73.096028,7.272611,0.4485849
-76.2,2.266667,0.27180448
-76.603297,3.563297,0.08043849
-73.85,4.533333,0.13691531
-74.15,4.666667,0.61435086
-75.683333,5.916667,0.13465756
-76.3,2.483333,0.27180448
-73.883333,5.0,0.23442347
-73.6,4.816667,0.23442347
-69.70417,11.18,0.014921529
-73.416667,4.583333,0.13691531
-74.0,4.75,0.42783004
-71.7333,8.15,0.31783646
-74.0,4.366667,0.61435086
-76.6,2.583333,0.28919816
-76.083333,6.416667,0.13399328
-76.433333,2.166667,0.4766401
-73.42,5.916667,0.37284815
-75.466667,6.833333,0.17596084
-70.516667,8.816667,0.20585528
-78.4,-0.3,0.4109746
-75.757528,4.157528,0.54542357
-74.104028,4.673333,0.61435086
-75.495678,5.054595,0.109681785
-79.86672,-4.31663,0.27952096
-79.8575,-4.321111,0.22699605
-72.933333,10.533333,0.017937398
-73.966667,4.716667,0.42783004
-74.3,4.7,0.42783004
-74.166667,4.916667,0.42783004
-74.133333,5.0,0.42783004
-78.216667,-2.066667,0.05661533
-75.5,4.583333,0.45201465
-75.333333,6.283333,0.17489536
-73.1,7.8,0.35242546
-77.77429,0.497404,0.836734
-75.793603,5.535228,0.20253421
-77.068444,1.74325,0.09929273
