"","parameter","mean","lower","upper","sd"
"1","beta",-7.04311182412772,-7.26490876413325,-6.82272721670896,0.11178451170689
"2","gamma",2.31806929184887,2.21368233796369,2.42167212129251,0.0530913734895446
