Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.68499E-4,0.076849873,0.036835511,1,0,0
2.0734E-3,0.437889253,0.093531545,0.95,0,0
4.01985E-3,0.839874494,0.166699672,0.933333333,0,0
4.38109E-3,1.277983928,0.178998584,0.916666667,0,0
1.08831E-2,5.871164824,0.351320793,0.766666667,0.026595745,0
2.29959E-2,19.053812543,0.533666973,0.583333333,0.095744681,0
5.0596E-2,100,0.715739977,0.016666667,0.930851064,0
1E0,100,0.980301348,0,0.930851064,0
