Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
8.87725E-7,0.000088773,0.000042465,0.946666667,0.004273504,0
1.34575E-6,0.000400892,0.000064373,0.906666667,0.004273504,0
3.54502E-6,0.000752868,0.000169557,0.893333333,0.004273504,0
3.55992E-4,0.036358804,0.016744686,0.88,0.008547009,0
5.61301E-4,0.092488941,0.026149233,0.866666667,0.012820513,0
5.61301E-4,0.204749214,0.026149233,0.826666667,0.012820513,0
1.02851E-3,0.307600646,0.046894485,0.826666667,0.021367521,0
1.24589E-3,0.432189911,0.056248228,0.813333333,0.02991453,0
1.42161E-3,0.698940142,0.063676164,0.786666667,0.02991453,0
2.35174E-3,0.934113698,0.101124937,0.773333333,0.02991453,0
2.72564E-3,1.206677262,0.11534815,0.76,0.02991453,0
2.98779E-3,1.505456643,0.125055192,0.746666667,0.034188034,0
4.0012E-3,1.905576909,0.160657253,0.733333333,0.034188034,0
4.19363E-3,2.32494028,0.167092743,0.72,0.034188034,0
4.41148E-3,2.766087897,0.174259999,0.706666667,0.034188034,0
5.91786E-3,3.357873559,0.220635545,0.693333333,0.038461538,0
5.98052E-3,4.547711347,0.222452151,0.666666667,0.051282051,0
6.37163E-3,5.18487446,0.233601537,0.653333333,0.051282051,0
6.66934E-3,5.851808803,0.24187642,0.64,0.064102564,0
6.98471E-3,6.045774732,0.250449375,0.626666667,0.064102564,0
7.96425E-3,6.648233844,0.275882612,0.626666667,0.068376068,0
7.96425E-3,8.241083926,0.275882612,0.586666667,0.068376068,0
8.50337E-3,9.091420862,0.289157696,0.586666667,0.072649573,0
9.22567E-3,10.013987498,0.306198679,0.573333333,0.072649573,0
9.50282E-3,10.964269171,0.3125225,0.56,0.098290598,0
9.50282E-3,13.815114191,0.3125225,0.506666667,0.098290598,0
1.07084E-2,14.885955098,0.338740603,0.506666667,0.115384615,0
1.21132E-2,16.09727366,0.366875087,0.493333333,0.115384615,0
1.29603E-2,17.393235639,0.382712898,0.48,0.115384615,0
1.31432E-2,22.595733184,0.386027902,0.426666667,0.11965812,0
1.40214E-2,25.312190381,0.401467339,0.4,0.132478632,0
1.40214E-2,26.714332122,0.401467339,0.373333333,0.132478632,0
1.6669E-2,28.3812335,0.443643156,0.373333333,0.162393162,0
1.67084E-2,30.052073998,0.444225825,0.36,0.175213675,0
1.67084E-2,33.393754994,0.444225825,0.32,0.175213675,0
1.69067E-2,34.542787001,0.447140488,0.32,0.209401709,0
1.70018E-2,35.093936014,0.448527725,0.32,0.217948718,0
1.74826E-2,36.842195151,0.455434758,0.306666667,0.235042735,0
1.74826E-2,38.590454289,0.455434758,0.28,0.235042735,0
1.8268E-2,40.417256078,0.466353672,0.28,0.252136752,0
1.86723E-2,40.964927231,0.471804988,0.266666667,0.252136752,0
1.9724E-2,42.389656888,0.485478008,0.266666667,0.260683761,0
2.06081E-2,46.422871221,0.496436316,0.24,0.307692308,0
2.06081E-2,48.483684745,0.496436316,0.213333333,0.307692308,0
2.16297E-2,50.646655387,0.508530866,0.213333333,0.384615385,0
2.16297E-2,57.135567311,0.508530866,0.16,0.384615385,0
2.32112E-2,59.089688709,0.526149638,0.16,0.435897436,0
2.35344E-2,59.48900454,0.529595642,0.16,0.44017094,0
2.47143E-2,61.960435471,0.541762849,0.146666667,0.452991453,0
2.65201E-2,64.249049739,0.559211402,0.133333333,0.457264957,0
2.68314E-2,64.643575254,0.56208589,0.133333333,0.482905983,0
2.86287E-2,66.382179559,0.577975498,0.12,0.482905983,0
2.99249E-2,67.636063398,0.588737665,0.12,0.495726496,0
3.18042E-2,70.816487246,0.603401571,0.106666667,0.504273504,0
3.24883E-2,74.065319286,0.608482935,0.093333333,0.538461538,0
3.24883E-2,77.314151325,0.608482935,0.066666667,0.538461538,0
3.32299E-2,80.637137426,0.613846043,0.066666667,0.542735043,0
3.65046E-2,84.287593413,0.635873033,0.053333333,0.55982906,0
3.92884E-2,88.216431739,0.652713453,0.04,0.581196581,0
4.32702E-2,92.54345091,0.674261498,0.026666667,0.581196581,0
4.61627E-2,93.232630601,0.688310188,0.013333333,0.611111111,0
4.71226E-2,93.461351847,0.692708553,0.013333333,0.628205128,0
5.82891E-2,96.121910561,0.736037422,0.013333333,0.632478632,0
6.29147E-2,97.224024786,0.750604399,0.013333333,0.641025641,0
7.4111E-2,99.891712352,0.779992583,0.013333333,0.645299145,0
7.45655E-2,100,0.781039935,0.013333333,0.696581197,0
1.07162E-1,100,0.836771073,0,0.696581197,0
1.11951E-1,100,0.842655155,0,0.709401709,0
1.14325E-1,100,0.845417786,0,0.726495726,0
1.16687E-1,100,0.848071925,0,0.735042735,0
1.46203E-1,100,0.874906704,0,0.739316239,0
1.55521E-1,100,0.881513473,0,0.747863248,0
1.75357E-1,100,0.893488657,0,0.756410256,0
2.68826E-1,100,0.927849936,0,0.760683761,0
3.32496E-1,100,0.940848945,0,0.764957265,0
4.52367E-1,100,0.955830775,0,0.773504274,0
5.90774E-1,100,0.965825126,0,0.85042735,0
6.46575E-1,100,0.968682157,0,0.867521368,0
7.81937E-1,100,0.97396246,0,0.871794872,0
1E0,100,0.979524022,0,0.905982906,0
