"","X1","GBM","GLM","MAXENT.Phillips","spec[x]"
"1","bio_1",0.788,0.792,0.545,"Patagona gigas"
"2","bio_12",0.036,0,0.104,"Patagona gigas"
"3","bio_15",0.097,0.289,0.26,"Patagona gigas"
"4","bio_2",0.078,0,0.063,"Patagona gigas"
"5","bio_3",0.03,0.718,0.488,"Patagona gigas"
