"","X1","GBM","GLM","MAXENT.Phillips","spec[x]"
"1","bio_1",0.814,0.913,0.978,"Patagona gigas"
"2","bio_12",0.053,0,0.123,"Patagona gigas"
"3","bio_15",0.093,0,0.072,"Patagona gigas"
"4","bio_2",0.091,0.254,0.126,"Patagona gigas"
