Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.83364E-6,0.000183364,0.000091829,0.946666667,0.004273504,0
6.08956E-6,0.000792319,0.000304903,0.933333333,0.004273504,0
1.16521E-5,0.001353414,0.000583254,0.92,0.004273504,0
7.05237E-4,0.071316016,0.03411681,0.92,0.008547009,0
8.58354E-4,0.227675079,0.041218725,0.893333333,0.008547009,0
8.58498E-4,0.485195565,0.041225348,0.853333333,0.008547009,0
1.0671E-3,0.591905762,0.050734387,0.84,0.012820513,0
1.13784E-3,0.705689349,0.053916047,0.826666667,0.012820513,0
1.21221E-3,1.054478019,0.057238746,0.786666667,0.021367521,0
3.33041E-3,1.387518791,0.142957941,0.773333333,0.021367521,0
3.60284E-3,1.747802919,0.152864535,0.76,0.021367521,0
3.66376E-3,2.114179215,0.155048598,0.746666667,0.025641026,0
4.409E-3,2.555079688,0.180882146,0.733333333,0.025641026,0
4.77491E-3,3.0325707,0.192996475,0.72,0.025641026,0
5.96924E-3,3.629494326,0.23015924,0.706666667,0.034188034,0
6.22193E-3,4.251687339,0.237587623,0.693333333,0.034188034,0
6.55997E-3,4.907684709,0.247303704,0.68,0.047008547,0
7.03332E-3,5.611016914,0.260499867,0.666666667,0.047008547,0
7.03332E-3,6.314349119,0.260499867,0.64,0.047008547,0
7.46956E-3,7.061304801,0.272258169,0.64,0.05982906,0
8.14917E-3,9.370133259,0.289849506,0.6,0.064102564,0
8.44055E-3,10.214188034,0.297133789,0.586666667,0.064102564,0
8.91645E-3,12.793942335,0.308715002,0.546666667,0.076923077,0
9.87837E-3,13.781779247,0.330995982,0.533333333,0.076923077,0
9.92264E-3,14.774043212,0.331986898,0.52,0.085470085,0
1.00859E-2,15.782638207,0.335617058,0.506666667,0.085470085,0
1.0171E-2,17.808331416,0.33749163,0.48,0.115384615,0
1.18074E-2,18.568669145,0.371612828,0.466666667,0.11965812,0
1.29604E-2,19.104364071,0.393616309,0.466666667,0.128205128,0
1.32138E-2,24.313850869,0.398247391,0.413333333,0.132478632,0
1.40405E-2,25.717896525,0.412876095,0.4,0.132478632,0
1.54647E-2,26.800509931,0.43647692,0.386666667,0.158119658,0
1.61673E-2,27.334629651,0.447435285,0.386666667,0.166666667,0
1.61673E-2,30.568095903,0.447435285,0.346666667,0.166666667,0
1.63531E-2,30.91870814,0.450261513,0.346666667,0.200854701,0
1.70718E-2,32.275279823,0.460929568,0.346666667,0.205128205,0
1.79897E-2,35.781438198,0.473966211,0.32,0.222222222,0
1.89214E-2,37.025632209,0.486568627,0.306666667,0.235042735,0
1.94458E-2,37.726021391,0.493400756,0.306666667,0.239316239,0
2.03654E-2,41.707143991,0.504951296,0.28,0.252136752,0
2.14656E-2,43.853701875,0.518096943,0.266666667,0.269230769,0
2.18811E-2,48.188365637,0.522881533,0.24,0.299145299,0
2.20566E-2,50.394026069,0.524874651,0.226666667,0.311965812,0
2.25976E-2,51.837821179,0.530913158,0.213333333,0.311965812,0
2.29152E-2,52.68554377,0.534387673,0.213333333,0.316239316,0
2.37235E-2,55.057896547,0.543002506,0.2,0.35042735,0
2.39961E-2,62.633192045,0.545836085,0.146666667,0.401709402,0
2.5224E-2,64.697353325,0.558176329,0.146666667,0.41025641,0
2.58479E-2,67.282147134,0.564193656,0.133333333,0.41025641,0
2.76906E-2,70.051204114,0.581044017,0.12,0.414529915,0
2.99074E-2,74.36685813,0.599666396,0.093333333,0.418803419,0
3.14576E-2,75.448368195,0.611734767,0.093333333,0.431623932,0
3.23238E-2,76.052637768,0.618166104,0.093333333,0.448717949,0
3.31535E-2,79.367984748,0.624130183,0.08,0.457264957,0
3.3582E-2,86.041531501,0.627138151,0.053333333,0.534188034,0
4.14213E-2,90.183666216,0.674753727,0.04,0.547008547,0
4.1936E-2,94.516396626,0.677457644,0.013333333,0.58974359,0
4.30734E-2,94.937676913,0.683277576,0.013333333,0.602564103,0
4.35684E-2,95.120975019,0.685744754,0.013333333,0.606837607,0
4.82885E-2,96.869141754,0.707477092,0.013333333,0.632478632,0
5.6742E-2,100,0.739714126,0.013333333,0.636752137,0
5.6742E-2,100,0.739714126,0.013333333,0.683760684,0
6.53852E-2,100,0.766072418,0,0.683760684,0
8.75222E-2,100,0.814249345,0,0.688034188,0
9.17503E-2,100,0.821279309,0,0.696581197,0
9.6506E-2,100,0.828576757,0,0.705128205,0
1.22312E-1,100,0.85966876,0,0.717948718,0
1.67552E-1,100,0.893524577,0,0.743589744,0
1.71451E-1,100,0.895693425,0,0.760683761,0
2.34152E-1,100,0.921430209,0,0.786324786,0
2.74039E-1,100,0.932089613,0,0.85042735,0
3.53356E-1,100,0.946518025,0,0.88034188,0
5.11232E-1,100,0.962413269,0,0.888888889,0
1E0,100,0.980424829,0,0.893162393,0
