LONGDECDEG,LATDECDEG,Colibri.coruscans_AllData_Full logistic values
-69.6833,11.16667,0.041218724
-70.51667,8.83333,0.5180969
-78.0575,-0.434722,0.05391605
-68.98333,10.53333,3.049032E-4
-76.95,1.833333,0.23758762
-72.05,7.4167,0.46092957
-69.26667,9.91667,0.39361632
-69.26667,9.88333,0.39361632
-69.26667,9.88333,0.39361632
-79.15,-4.1,0.56419367
-70.48333,8.86667,0.5180969
-73.9333,4.4833,0.5430025
-76.333333,1.833333,0.33099598
-77.383333,-0.133333,0.0
-74.083333,4.483333,0.5430025
-72.3611233333333,7.55,0.46092957
-73.966667,4.55,0.5430025
-78.716667,-0.55,0.30871502
-77.645853,0.680287,0.5228815
-72.666667,5.416667,0.49340075
-69.66667,11.16667,0.041218724
-75.433333,4.3,0.6747537
-77.166667,0.666667,0.034116138
-75.112032,6.98266,0.15286453
-79.07512,-2.72165,0.23015924
-76.744722,1.069722,9.182939E-5
-73.084194,7.344611,0.581044
-73.096028,7.272611,0.581044
-76.2,2.266667,0.4474353
-77.966667,0.866667,0.6747537
-69.70417,11.18,0.041218724
-73.416667,4.583333,0.49340075
-78.421389,0.35,0.62713814
-72.933333,10.533333,0.5049514
-75.333333,5.083333,0.3982474
-75.883333,2.383333,0.33749163
-78.216667,-2.066667,0.2971338
-79.4,-4.783333,0.27225816
-78.26667,0.116667,0.4739662
-76.276097,1.600061,0.55817634
-78.75,-4.36667,0.050734386
-72.283333,6.133333,0.19299647
-78.15,-2.1,0.2971338
-69.60417,9.6975,0.041225348
-74.166667,5.133333,0.6241302
-79.15,-4.65,0.27225816
-78.2,-0.333333,0.05391605
-78.908333,-3.283333,0.33561707
-78.366667,-0.666667,0.05391605
-72.81667,10.03333,0.0
-72.7833,10.0333,0.0
-72.59103,10.32648,0.28984952
-76.383333,2.35,0.4474353
-70.61667,10.31667,0.15504856
-73.916667,3.1,0.0
-78.884,-1.434,0.3319869
-77.983333,1.216667,0.057144485
-77.275833,0.515367,0.034116138
-74.066667,4.566667,0.5430025
-76.483333,2.333333,0.73971415
-76.170278,2.240278,0.4474353
-73.266667,4.85,0.24730374
-72.05,8.13333,0.6181661
-73.95,4.916667,0.6241302
-73.166667,5.25,0.4128761
-79.09183,-2.94754,0.33561707
-69.2667,9.9333,0.39361632
-78.64964,-3.00277,0.2971338
-79.116667,-4.383333,0.27225816
-73.054278,7.142556,0.14295794
-76.519722,1.238333,0.18088214
-78.587981,-0.146287,0.53438765
-71.7667,8.3667,0.26049986
-71.7667,8.3667,0.26049986
-79.133333,-4.866667,0.5248746
