"","value"
"Env",0.100523043771828
"Observed",0.0923375095748696
"Env + Dispersal",0.0929885180151708
"No Conservatism & Strong Repulsion",0.0702605410303995
"Strong Conservatism & Strong Repulsion",0.21786057102698
"No Conservatism & No Repulsion",0.00253102640440772
"Strong Conservatism & No Repulsion",0.266538734210432
