"","X1","GBM","GLM","MAXENT.Phillips","spec[x]"
"1","bio_1",0.775,0.969,0.796,"Heliodoxa leadbeateri"
"2","bio_12",0.107,0.208,0.628,"Heliodoxa leadbeateri"
"3","bio_15",0.16,0.181,0.458,"Heliodoxa leadbeateri"
"4","bio_2",0.013,0,0.484,"Heliodoxa leadbeateri"
